model,training_stage,suite,seed,tasks,n_episodes_per_task,total_episodes,n_success,success_rate_percent,ci95_low_percent,ci95_high_percent,status
fine_tuned_smolvla,stage2_50k_from_stage1,libero_spatial,42,10,10,100,65,65.0,55.3,73.6,confirmed
released_smolvla_libero,reference,libero_spatial,42,10,10,100,80,80.0,71.1,86.7,confirmed
